"DateMutation","NatureMutation","ValeurFonciere","IDProprieteDuBien[FK]","IDSituationGeographique[FK]"
2020-05-15 00:00:00,"Vente",84800,187,187
2020-05-20 00:00:00,"Vente",282600,188,188
2020-05-22 00:00:00,"Vente",145100,189,189
2020-01-16 00:00:00,"Vente",87000,190,190
2020-01-03 00:00:00,"Vente",142000,191,191
2020-01-15 00:00:00,"Vente",66000,192,192
2020-01-22 00:00:00,"Vente",71500,193,193
2020-01-10 00:00:00,"Vente",68100,194,194
2020-01-24 00:00:00,"Vente",58900,195,195
2020-02-17 00:00:00,"Vente",37900,196,196
2020-02-14 00:00:00,"Vente",70000,197,197
2020-02-21 00:00:00,"Vente",112900,198,198
2020-02-21 00:00:00,"Vente",39500,199,199
2020-02-24 00:00:00,"Vente",39900,200,200
2020-02-19 00:00:00,"Vente",78100,201,201
2020-02-06 00:00:00,"Vente",37015,202,202
2020-03-12 00:00:00,"Vente",93000,203,203
2020-04-09 00:00:00,"Vente",35000,204,204
2020-04-06 00:00:00,"Vente",42500,205,205
2020-04-09 00:00:00,"Vente",88000,206,206
2020-05-06 00:00:00,"Vente",80900,207,207
2020-05-04 00:00:00,"Vente",34000,208,208
2020-05-18 00:00:00,"Vente",84000,209,209
2020-05-11 00:00:00,"Vente",90000,210,210
2020-05-26 00:00:00,"Vente",81500,211,211
2020-05-26 00:00:00,"Vente",27000,212,212
2020-05-26 00:00:00,"Vente",20000,213,213
2020-05-29 00:00:00,"Vente",137000,214,214
2020-05-30 00:00:00,"Vente",44500,215,215
2020-06-05 00:00:00,"Vente",75000,216,216
2020-05-22 00:00:00,"Vente",44000,217,217
2020-06-25 00:00:00,"Vente",32500,218,218
2020-06-23 00:00:00,"Vente",35500,219,219
2020-06-24 00:00:00,"Vente",365000,220,220
2020-06-24 00:00:00,"Vente",55000,221,221
2020-06-30 00:00:00,"Vente",29500,222,222
2020-01-15 00:00:00,"Vente",370000,223,223
2020-02-07 00:00:00,"Vente",41000,224,224
2020-03-06 00:00:00,"Vente",107000,225,225
2020-06-19 00:00:00,"Vente",68700,226,226
2020-01-10 00:00:00,"Vente",290000,227,227
2020-02-04 00:00:00,"Vente",57000,228,228
2020-01-31 00:00:00,"Vente",274000,229,229
2020-02-06 00:00:00,"Vente",39000,230,230
2020-02-18 00:00:00,"Vente",102345,231,231
2020-02-07 00:00:00,"Vente",63500,232,232
2020-02-04 00:00:00,"Vente",181000,233,233
2020-02-13 00:00:00,"Vente",125000,234,234
2020-02-13 00:00:00,"Vente",59000,235,235
2020-02-17 00:00:00,"Vente",63000,236,236
2020-02-05 00:00:00,"Vente",90000,237,237
2020-01-31 00:00:00,"Vente",110000,238,238
2020-02-12 00:00:00,"Vente",81000,239,239
2020-02-19 00:00:00,"Vente",67000,240,240
2020-02-18 00:00:00,"Vente",30000,241,241
2020-02-03 00:00:00,"Vente",79180,242,242
2020-03-03 00:00:00,"Vente",55000,243,243
2020-02-14 00:00:00,"Vente",97000,244,244
2020-03-10 00:00:00,"Vente",44000,245,245
2020-03-10 00:00:00,"Vente",82500,246,246
2020-03-02 00:00:00,"Vente",230000,247,247
2020-02-27 00:00:00,"Vente",13000,248,248
2020-04-20 00:00:00,"Vente",103090,249,249
2020-04-23 00:00:00,"Vente",95000,250,250
2020-05-15 00:00:00,"Vente",36000,251,251
2020-03-10 00:00:00,"Vente",100789,252,252
2020-03-02 00:00:00,"Vente",76280,253,253
2020-05-06 00:00:00,"Vente",65000,254,254
2020-05-29 00:00:00,"Vente",151000,255,255
2020-05-14 00:00:00,"Vente",134000,256,256
2020-05-25 00:00:00,"Vente",56500,257,257
2020-06-05 00:00:00,"Vente",47500,258,258
2020-06-04 00:00:00,"Vente",44000,259,259
2020-05-16 00:00:00,"Vente",41500,260,260
2020-05-27 00:00:00,"Vente",95000,261,261
2020-05-28 00:00:00,"Vente",87000,262,262
2020-06-10 00:00:00,"Vente",53000,263,263
2020-06-30 00:00:00,"Vente",36000,264,264
2020-06-05 00:00:00,"Vente",70000,265,265
2020-06-18 00:00:00,"Vente",169000,266,266
2020-06-09 00:00:00,"Vente",148586,267,267
2020-06-10 00:00:00,"Vente",140000,268,268
2020-06-25 00:00:00,"Vente",45375,269,269
2020-01-24 00:00:00,"Vente",55000,270,270
2020-02-07 00:00:00,"Vente",290000,271,271
2020-03-11 00:00:00,"Vente",110500,272,272
2020-06-10 00:00:00,"Vente",67000,273,273
2020-06-08 00:00:00,"Vente",43000,274,274
2020-01-21 00:00:00,"Vente",111324,275,275
2020-01-03 00:00:00,"Vente",164000,276,276
2020-01-07 00:00:00,"Vente",131990,277,277
2020-01-15 00:00:00,"Vente",74169,278,278
2020-01-16 00:00:00,"Vente",106000,279,279
2020-03-16 00:00:00,"Vente",135000,280,280
2020-02-28 00:00:00,"Vente",59500,281,281
2020-03-17 00:00:00,"Vente",108254,282,282
2020-05-06 00:00:00,"Vente",45500,283,283
2020-05-19 00:00:00,"Vente",55000,284,284
2020-06-18 00:00:00,"Vente",41000,285,285
2020-05-16 00:00:00,"Vente",172200,286,286
2020-05-25 00:00:00,"Vente",100000,287,287
2020-05-15 00:00:00,"Vente",96000,288,288
2020-05-25 00:00:00,"Vente",153500,289,289
2020-05-20 00:00:00,"Vente","35722,61",290,290
2020-06-09 00:00:00,"Vente",26500,291,291
2020-01-04 00:00:00,"Vente",84000,292,292
2020-01-03 00:00:00,"Vente",71000,293,293
2020-01-10 00:00:00,"Vente",38550,294,294
2020-01-21 00:00:00,"Vente",118500,295,295
2020-01-06 00:00:00,"Vente",196000,296,296
2020-01-11 00:00:00,"Vente",48000,297,297
2020-01-03 00:00:00,"Vente",43000,298,298
2020-01-21 00:00:00,"Vente",29800,299,299
2020-01-20 00:00:00,"Vente",175000,300,300
2020-01-22 00:00:00,"Vente",34000,301,301
2020-01-17 00:00:00,"Vente",40000,302,302
2020-01-15 00:00:00,"Vente",42000,303,303
2020-01-21 00:00:00,"Vente",39735,304,304
2020-01-29 00:00:00,"Vente",105000,305,305
2020-01-14 00:00:00,"Vente",128690,306,306
2020-01-23 00:00:00,"Vente",113330,307,307
2020-01-16 00:00:00,"Vente",300000,308,308
2020-01-20 00:00:00,"Vente",77000,309,309
2020-01-29 00:00:00,"Vente",75000,310,310
2020-01-03 00:00:00,"Vente",33880,311,311
2020-01-20 00:00:00,"Vente",42800,312,312
2020-02-07 00:00:00,"Vente",64000,313,313
2020-01-31 00:00:00,"Vente",105375,314,314
2020-01-30 00:00:00,"Vente",40000,315,315
2020-02-04 00:00:00,"Vente",61000,316,316
2020-02-10 00:00:00,"Vente",44585,317,317
2020-01-24 00:00:00,"Vente",67830,318,318
2020-01-23 00:00:00,"Vente",71000,319,319
2020-02-07 00:00:00,"Vente",43000,320,320
2020-02-05 00:00:00,"Vente",75000,321,321
2020-01-31 00:00:00,"Vente",113000,322,322
2020-02-13 00:00:00,"Vente",52800,323,323
2020-02-14 00:00:00,"Vente",57000,324,324
2020-02-14 00:00:00,"Vente",37000,325,325
2020-01-27 00:00:00,"Vente",51000,326,326
2020-02-04 00:00:00,"Vente",115000,327,327
2020-01-31 00:00:00,"Vente",160500,328,328
2020-02-07 00:00:00,"Vente",62500,329,329
2020-02-14 00:00:00,"Vente",52500,330,330
2020-01-30 00:00:00,"Vente","66450,35",331,331
2020-01-31 00:00:00,"Vente",47000,332,332
2020-02-12 00:00:00,"Vente",150500,333,333
2020-02-12 00:00:00,"Vente",201500,334,334
2020-01-27 00:00:00,"Vente",24000,335,335
2020-02-21 00:00:00,"Vente",270200,336,336
2020-01-29 00:00:00,"Vente","128014,89",337,337
2020-02-13 00:00:00,"Vente",90000,338,338
2020-02-25 00:00:00,"Vente",68730,339,339
2020-02-17 00:00:00,"Vente",19000,340,340
2020-02-22 00:00:00,"Vente",44000,341,341
2020-02-04 00:00:00,"Vente",37000,342,342
2020-02-08 00:00:00,"Vente",67500,343,343
2020-02-13 00:00:00,"Vente",76600,344,344
2020-02-06 00:00:00,"Vente",52300,345,345
2020-02-19 00:00:00,"Vente",40000,346,346
2020-02-11 00:00:00,"Vente",80000,347,347
2020-02-12 00:00:00,"Vente",62000,348,348
2020-02-21 00:00:00,"Vente",146200,349,349
2020-02-14 00:00:00,"Vente",61500,350,350
2020-02-07 00:00:00,"Vente",88000,351,351
2020-02-26 00:00:00,"Vente",77000,352,352
2020-02-29 00:00:00,"Vente",63500,353,353
2020-02-25 00:00:00,"Vente",58000,354,354
2020-02-26 00:00:00,"Vente",230000,355,355
2020-02-24 00:00:00,"Vente",135700,356,356
2020-02-27 00:00:00,"Vente",76000,357,357
2020-02-14 00:00:00,"Vente",61400,358,358
2020-02-27 00:00:00,"Vente",44000,359,359
2020-02-17 00:00:00,"Vente",69300,360,360
2020-02-14 00:00:00,"Vente",41500,361,361
2020-02-21 00:00:00,"Vente",230000,362,362
2020-02-21 00:00:00,"Vente",220000,363,363
2020-02-26 00:00:00,"Vente",67560,364,364
2020-02-22 00:00:00,"Vente",39980,365,365
2020-02-19 00:00:00,"Vente",61700,366,366
2020-02-20 00:00:00,"Vente",70020,367,367
2020-03-03 00:00:00,"Vente",226750,368,368
2020-03-03 00:00:00,"Vente",81860,369,369
2020-03-03 00:00:00,"Vente",69450,370,370
2020-03-02 00:00:00,"Vente",33000,371,371
2020-02-21 00:00:00,"Vente",83000,372,372
2020-02-15 00:00:00,"Vente",62700,373,373
2020-02-25 00:00:00,"Vente",44000,374,374
2020-02-15 00:00:00,"Vente",43000,375,375
2020-03-09 00:00:00,"Vente",101000,376,376
2020-02-28 00:00:00,"Vente",77000,377,377
2020-03-06 00:00:00,"Vente",70200,378,378
2020-03-06 00:00:00,"Vente",43000,379,379
2020-03-31 00:00:00,"Vente",47200,380,380
2020-03-14 00:00:00,"Vente",65000,381,381
2020-04-21 00:00:00,"Vente",70000,382,382
2020-03-18 00:00:00,"Vente",46890,383,383
2020-02-26 00:00:00,"Vente",54090,384,384
2020-04-30 00:00:00,"Vente",43500,385,385
2020-04-30 00:00:00,"Vente",77400,386,386
2020-05-05 00:00:00,"Vente",128490,387,387
2020-04-30 00:00:00,"Vente",130000,388,388
2020-05-04 00:00:00,"Vente",87000,389,389
2020-04-24 00:00:00,"Vente",155000,390,390
2020-04-29 00:00:00,"Vente",19400,391,391
2020-05-07 00:00:00,"Vente",51400,392,392
2020-05-12 00:00:00,"Vente",35000,393,393
2020-04-15 00:00:00,"Vente",110000,394,394
2020-05-18 00:00:00,"Vente",64500,395,395
2020-05-15 00:00:00,"Vente",86000,396,396
2020-05-15 00:00:00,"Vente",45000,397,397
2020-05-19 00:00:00,"Vente",87000,398,398
2020-05-12 00:00:00,"Vente",111300,399,399
2020-05-13 00:00:00,"Vente",230000,400,400
2020-05-20 00:00:00,"Vente",67500,401,401
2020-05-27 00:00:00,"Vente",105000,402,402
2020-05-13 00:00:00,"Vente",28500,403,403
2020-05-28 00:00:00,"Vente",27000,404,404
2020-05-26 00:00:00,"Vente",113000,405,405
2020-04-30 00:00:00,"Vente",48700,406,406
2020-05-13 00:00:00,"Vente",29900,407,407
2020-05-07 00:00:00,"Vente",29500,408,408
2020-05-27 00:00:00,"Vente",46937,409,409
2020-05-29 00:00:00,"Vente",55500,410,410
2020-05-14 00:00:00,"Vente",142500,411,411
2020-05-16 00:00:00,"Vente",35000,412,412
2020-06-03 00:00:00,"Vente",32500,413,413
2020-05-26 00:00:00,"Vente",64050,414,414
2020-05-29 00:00:00,"Vente",60000,415,415
2020-05-29 00:00:00,"Vente",45710,416,416
2020-05-29 00:00:00,"Vente",55500,417,417
2020-05-30 00:00:00,"Vente",35500,418,418
2020-06-06 00:00:00,"Vente",20140,419,419
2020-05-26 00:00:00,"Vente",25650,420,420
2020-05-18 00:00:00,"Vente",126000,421,421
2020-05-20 00:00:00,"Vente",61000,422,422
2020-06-11 00:00:00,"Vente",54000,423,423
2020-06-03 00:00:00,"Vente",30500,424,424
2020-05-28 00:00:00,"Vente",80000,425,425
2020-05-20 00:00:00,"Vente",28350,426,426
2020-06-06 00:00:00,"Vente",78500,427,427
2020-01-25 00:00:00,"Vente",57950,428,428
2020-06-16 00:00:00,"Vente",55000,429,429
2020-05-29 00:00:00,"Vente",63000,430,430
2020-06-03 00:00:00,"Vente",62000,431,431
2020-06-10 00:00:00,"Vente",134300,432,432
2020-06-20 00:00:00,"Vente",56000,433,433
2020-06-12 00:00:00,"Vente",130000,434,434
2020-05-28 00:00:00,"Vente",41000,435,435
2020-06-11 00:00:00,"Vente",272000,436,436
2020-06-15 00:00:00,"Vente",117000,437,437
2020-06-15 00:00:00,"Vente",75000,438,438
2020-06-03 00:00:00,"Vente",206000,439,439
2020-06-13 00:00:00,"Vente",83000,440,440
2020-06-26 00:00:00,"Vente",35000,441,441
2020-06-18 00:00:00,"Vente",300000,442,442
2020-06-06 00:00:00,"Vente",33000,443,443
2020-06-26 00:00:00,"Vente",57500,444,444
2020-06-05 00:00:00,"Vente",63000,445,445
2020-06-26 00:00:00,"Vente",25000,446,446
2020-06-10 00:00:00,"Vente",225500,447,447
2020-06-29 00:00:00,"Vente",55800,448,448
2020-06-23 00:00:00,"Vente",135000,449,449
2020-06-11 00:00:00,"Vente",95000,450,450
2020-06-17 00:00:00,"Vente",64000,451,451
2020-06-30 00:00:00,"Vente",135000,452,452
2020-06-30 00:00:00,"Vente",90000,453,453
2020-01-29 00:00:00,"Vente",75000,454,454
2020-01-20 00:00:00,"Vente",41500,455,455
2020-01-16 00:00:00,"Vente",41080,456,456
2020-02-12 00:00:00,"Vente",,457,457
2020-01-16 00:00:00,"Vente",310000,458,458
2020-02-07 00:00:00,"Vente",159550,459,459
2020-01-22 00:00:00,"Vente",150000,460,460
2020-02-18 00:00:00,"Vente",165500,461,461
2020-02-21 00:00:00,"Vente",67200,462,462
2020-02-12 00:00:00,"Vente",230000,463,463
2020-02-05 00:00:00,"Vente",220000,464,464
2020-02-07 00:00:00,"Vente",53320,465,465
2020-02-10 00:00:00,"Vente",49000,466,466
2020-02-24 00:00:00,"Vente",110000,467,467
2020-02-27 00:00:00,"Vente",238000,468,468
2020-02-24 00:00:00,"Vente",55000,469,469
2020-02-22 00:00:00,"Vente",53260,470,470
2020-02-25 00:00:00,"Vente",120250,471,471
2020-02-18 00:00:00,"Vente",119390,472,472
2020-02-20 00:00:00,"Vente",117110,473,473
2020-02-21 00:00:00,"Vente",85000,474,474
2020-02-28 00:00:00,"Vente",140150,475,475
2020-03-16 00:00:00,"Vente",113000,476,476
2020-03-26 00:00:00,"Vente",26630,477,477
2020-04-02 00:00:00,"Vente",64000,478,478
2020-03-02 00:00:00,"Vente",56900,479,479
2020-04-22 00:00:00,"Vente",114275,480,480
2020-04-03 00:00:00,"Vente",123000,481,481
2020-04-16 00:00:00,"Vente",98000,482,482
2020-03-27 00:00:00,"Vente",43000,483,483
2020-03-04 00:00:00,"Vente",30250,484,484
2020-04-27 00:00:00,"Vente",50740,485,485
2020-04-30 00:00:00,"Vente",146192,486,486
2020-04-27 00:00:00,"Vente",40000,487,487
2020-05-06 00:00:00,"Vente",80000,488,488
2020-04-30 00:00:00,"Vente",65000,489,489
2020-04-22 00:00:00,"Vente",112000,490,490
2020-05-14 00:00:00,"Vente",85000,491,491
2020-05-13 00:00:00,"Vente",47000,492,492
2020-05-14 00:00:00,"Vente",67340,493,493
2020-05-29 00:00:00,"Vente",65500,494,494
2020-05-28 00:00:00,"Vente",125000,495,495
2020-05-26 00:00:00,"Vente",153240,496,496
2020-05-30 00:00:00,"Vente",75000,497,497
2020-05-29 00:00:00,"Vente",23000,498,498
2020-05-28 00:00:00,"Vente",107871,499,499
2020-06-04 00:00:00,"Vente",33000,500,500
2020-05-30 00:00:00,"Vente",187000,501,501
2020-05-11 00:00:00,"Vente",51300,502,502
2020-05-28 00:00:00,"Vente",45500,503,503
2020-05-29 00:00:00,"Vente",59800,504,504
2020-06-08 00:00:00,"Vente",75000,505,505
2020-05-16 00:00:00,"Vente",32000,506,506
2020-05-18 00:00:00,"Vente",36100,507,507
2020-05-15 00:00:00,"Vente",50000,508,508
2020-05-18 00:00:00,"Vente",81200,509,509
2020-05-29 00:00:00,"Vente",148000,510,510
2020-05-22 00:00:00,"Vente",46780,511,511
2020-06-10 00:00:00,"Vente",233400,512,512
2020-05-15 00:00:00,"Vente",165000,513,513
2020-06-05 00:00:00,"Vente",55000,514,514
2020-06-06 00:00:00,"Vente",34500,515,515
2020-06-03 00:00:00,"Vente",125000,516,516
2020-06-09 00:00:00,"Vente",144000,517,517
2020-06-19 00:00:00,"Vente",179000,518,518
2020-06-05 00:00:00,"Vente",181000,519,519
2020-06-08 00:00:00,"Vente",278800,520,520
2020-06-05 00:00:00,"Vente",220000,521,521
2020-06-05 00:00:00,"Vente",136000,522,522
2020-06-23 00:00:00,"Vente",30000,523,523
2020-06-08 00:00:00,"Vente",85000,524,524
2020-05-29 00:00:00,"Vente",39000,525,525
2020-06-23 00:00:00,"Vente",19800,526,526
2020-06-26 00:00:00,"Vente",21000,527,527
2020-06-15 00:00:00,"Vente",202000,528,528
2020-06-12 00:00:00,"Vente",44600,529,529
2020-06-15 00:00:00,"Vente",39000,530,530
2020-06-05 00:00:00,"Vente",212000,531,531
2020-06-06 00:00:00,"Vente",152600,532,532
2020-06-06 00:00:00,"Vente",66500,533,533
2020-06-06 00:00:00,"Vente",69000,534,534
2020-06-29 00:00:00,"Vente",76000,535,535
2020-06-15 00:00:00,"Vente",51500,536,536
2020-06-26 00:00:00,"Vente",141500,537,537
2020-06-15 00:00:00,"Vente",153000,538,538
2020-06-24 00:00:00,"Vente",85700,539,539
2020-06-23 00:00:00,"Vente",19000,540,540
2020-06-15 00:00:00,"Vente",190000,541,541
2020-06-22 00:00:00,"Vente",202100,542,542
2020-06-30 00:00:00,"Vente",64600,543,543
2020-06-29 00:00:00,"Vente",90250,544,544
2020-01-03 00:00:00,"Vente",616900,545,545
2020-01-03 00:00:00,"Vente",212550,546,546
2020-01-02 00:00:00,"Vente",229500,547,547
2020-01-13 00:00:00,"Vente",191500,548,548
2020-01-13 00:00:00,"Vente",140650,549,549
2020-01-10 00:00:00,"Vente",228500,550,550
2020-01-15 00:00:00,"Vente",112070,551,551
2020-01-06 00:00:00,"Vente",212200,552,552
2020-01-14 00:00:00,"Vente",195500,553,553
2020-01-10 00:00:00,"Vente",158525,554,554
2020-01-16 00:00:00,"Vente",171700,555,555
